,user_name,user_profile_url,rating,local_guide,comment_num,comment_text
0, 林Luke ,https://www.google.com/maps/contrib/105286800564072859046/reviews?hl=zh-TW,5,True,317,  假日晚上不到5點半就開始排隊，內用需等近小時，就外帶小鍋底加一份台灣牛肉，也等了約20分鐘...可刷卡，服務人員雖忙但態度佳。 … 
1, jump3lien ,https://www.google.com/maps/contrib/117727868477352657757/reviews?hl=zh-TW,4,True,450,  上菜速度快！牛舌冷盤不錯！熱炒也蠻好吃的！尤其酸白菜牛肉！可惜湯頭還是偏好阿裕！價格算是可以！ 
2, HSU Julia ,https://www.google.com/maps/contrib/114944545922566479615/reviews?hl=zh-TW,4,True,432,  2022.08.17溫體牛專賣店，有2家分店，另一家在八德路，但我個人偏好承德店。冬天很容易大排長龍，所以我選擇夏天來吃，夏天店內冷氣強到不輸冬天😆，又不必排隊人擠人。湯頭是蔬菜熬煮，清爽好喝；最強的是醬料，用醬汁浸泡的生洋蔥，一大桶不怕客人吃。目前牛肉每份390元並不便宜，份量不多。有一個隱藏版菜單是五花肉，油花比較多一點，口感也稍微軟嫩一些。人均消費約800元，缺點是座位區稍微擁擠，且結帳刷卡機只有舊式刷卡沒有感應，拉長了結帳時間 … 
3, Genelle Chu Genelle_chu@gmail.com ,https://www.google.com/maps/contrib/101271639235055867024/reviews?hl=zh-TW,3,True,192,"  不小的溫體牛專賣店，用餐時間生意很好，服務生算不上親切熱忱，頗有老鳥的感覺。
忘了拍菜單，菜單上好幾道菜都只有寫炒XX，沒辦法知道確切是做什麼口味，是炒豆瓣、沙茶、還是會不會辣…，只有部份有寫芹菜或芥藍。
菜的份量不多，每盤大約在190、200多左右，三人吃還好，四就覺少了點，得多點幾道。 … "
4, 曾國賓 ,https://www.google.com/maps/contrib/107708304322505362668/reviews?hl=zh-TW,5,True,125,"  牛肉火鍋 湯底加配料很實在 清湯不膩
牛肉很優 煮6-7分熟 肉相當嫩
青椒炒牛肉也是相當優異 … "
5, Parie Lin ,https://www.google.com/maps/contrib/114227546417464047652/reviews?hl=zh-TW,4,True,591,"  餐點⭐️⭐️⭐️⭐️⭐️：
🥢鍋底(小)$150
蔬菜湯頭很香甜、菜也很新鮮，兩個人點小的鍋底剛剛好 … "
6, joan chen ,https://www.google.com/maps/contrib/107274192774580890750/reviews?hl=zh-TW,5,True,657,  湯頭越煮越先甜、牛肉先放到碗裡面、放點薑絲、等湯滾了之後在把湯搖到湯裡面，牛肉超嫩、熱炒的水準都一樣、唯一覺得總類太少了、青菜類應該在對一點，玉米、菜心之類的、承德路的生意真的很好、服務人員態度沒有不好，只是對客人嘆氣也是讓我們都嚇到了、 
7, yaa Fly ,https://www.google.com/maps/contrib/113497039328227679757/reviews?hl=zh-TW,5,False,10,"  自從第一次經過看到這間店，玻璃窗滿滿的溫體牛就很想找機會進去嚐一下。剛好梅雨季很適合吃個鍋，很即興的就來啦！建議提前訂個位，很幸運不用排隊就進來啦！
兩個人不是什麼大胃王，能點的不多。 … "
8, Larry Chen ,https://www.google.com/maps/contrib/117061527517266669257/reviews?hl=zh-TW,4,True,417,  湯頭不錯，牛肉品質不錯但沒到很嫩，肝臟很嫩且沒腥味，炒類有各種炒牛肉可選擇。生意很好，價格偏高，可刷卡。 
9, MEI HUA WU ,https://www.google.com/maps/contrib/110785581636598088584/reviews?hl=zh-TW,3,True,140,"  炒牛肉料理都算中等 口味較重
牛肉湯 味道也濃郁 牛肉部分 也還可以 … "
